name,city,cuisine,rating,price_range,coordinates,phone,url,address,opening_hours
Jaya 888,new-york,"['Asian: Other', 'Juice and Smoothies', 'Noodles']",{},,"{'@type': 'GeoCoordinates', 'latitude': 40.71696, 'longitude': -73.99974}",+19175872259,https://www.ubereats.com/new-york/food-delivery/jaya-888/nieydxWkTiGcdBStGTn3hg,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10013', 'addressCountry': 'US', 'streetAddress': '90 Baxter Street'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday'], 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]"
Chipotle Mexican Grill (286 1St Ave),new-york,"['Healthy', 'Mexican']","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '401'}",$,"{'@type': 'GeoCoordinates', 'latitude': 40.73295830000001, 'longitude': -73.98080019999999}",+12122281915,https://www.ubereats.com/new-york/food-delivery/chipotle-mexican-grill-286-1st-ave/DIOjtNJSQQKjntY7uJsPyw,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10009', 'addressCountry': 'US', 'streetAddress': '286 1St Ave'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '21:40'}]"
Dunkin' (6 East 46th St),new-york,"['Breakfast &amp; Brunch', 'Donuts']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.7556761, 'longitude': -73.9784808}",+12128674446,https://www.ubereats.com/new-york/food-delivery/dunkin-6-east-46th-st/jqSTSf7RTaO5oJPbDEPcBw,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10017', 'addressCountry': 'US', 'streetAddress': '6 East 46th St'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '8:30', 'closes': '14:30'}]"
Luigi's Pasta Ristorante,new-york,"['Italian', 'Pasta', 'Comfort Food']","{'@type': 'AggregateRating', 'ratingValue': 3.5, 'reviewCount': '21'}",$,"{'@type': 'GeoCoordinates', 'latitude': 40.7436426, 'longitude': -73.97393869999999}",+12122139687,https://www.ubereats.com/new-york/food-delivery/luigis-pasta-ristorante/EFKSI48ISWmTOGDdouVyiQ,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10016', 'addressCountry': 'US', 'streetAddress': '589 1st Avenue'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '2:0'}]"
El Toro Blanco - West Village,new-york,['Mexican'],{},$$,"{'@type': 'GeoCoordinates', 'latitude': 40.729026, 'longitude': -74.002807}",+12126450193,https://www.ubereats.com/new-york/food-delivery/el-toro-blanco-west-village/vKon_xi2Qa-J5i8-rqIGuQ,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10014', 'addressCountry': 'US', 'streetAddress': '257 6th Ave'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '16:0', 'closes': '21:0'}]"
Lilly O'Brien's- Tribeca,new-york,"['Irish', 'Pub', 'Wings']",{},$$,"{'@type': 'GeoCoordinates', 'latitude': 40.71442659999999, 'longitude': -74.0096578}",+17186140675,https://www.ubereats.com/new-york/food-delivery/lilly-obriens-tribeca/IXHX-TteTv2LhPyOeDU26w,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10007', 'addressCountry': 'US', 'streetAddress': '57 Murray Street'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '0:0', 'closes': '0:1'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '0:0', 'closes': '0:1'}]"
The Spring Roll Company,new-york,"['Chinese', 'Korean', 'Asian Fusion', 'Seafood', 'Desserts', 'Asian']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.73559004244369, 'longitude': -73.99391342500286}",+16466785799,https://www.ubereats.com/new-york/food-delivery/the-spring-roll-company/SGLELkFwQKijk_PUAhrOCg,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10003', 'addressCountry': 'US', 'streetAddress': '74 5th Ave'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '2:0'}]"
Food Passion (Lexington Ave),new-york,"['Vegetarian', 'Desserts', 'Salads']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.7766333, 'longitude': -73.9579528}",+12128612766,https://www.ubereats.com/new-york/food-delivery/food-passion-lexington-ave/o6udtwy8QOyI-BmhIAhVSg,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10028', 'addressCountry': 'US', 'streetAddress': '1200 Lexington Ave'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '9:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '17:0'}]"
sweetgreen (Wall St),new-york,"['Healthy', 'Salads']","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '202'}",$,"{'@type': 'GeoCoordinates', 'latitude': 40.7055567, 'longitude': -74.00841319999999}",,https://www.ubereats.com/new-york/food-delivery/sweetgreen-wall-st/64E_BP5wS5qssTuc2GNc3g,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10005', 'addressCountry': 'US', 'streetAddress': '67 Wall St'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:0'}]"
Public Village,new-york,"['Asian', 'Chinese', 'Noodles']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.715370199999995, 'longitude': -73.9898661}",+16464767501,https://www.ubereats.com/new-york/food-delivery/public-village/cz3x_YUsQeOL77jMqqzI7g,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10002', 'addressCountry': 'US', 'streetAddress': '23 Essex St'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:30'}]"
Starbucks® (43rd &amp Broadway),new-york,"['Cafe', 'Coffee &amp; Tea', 'Breakfast and Brunch', 'Bakery']","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '104'}",$,"{'@type': 'GeoCoordinates', 'latitude': 40.7567648, 'longitude': -73.9857195}",+12122217515,https://www.ubereats.com/new-york/food-delivery/starbucks-43rd-%26-broadway/OfXMwF9BRGKDnQQ_sCSx0g,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10036', 'addressCountry': 'US', 'streetAddress': '1500 Broadway'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '20:0'}]"
Luke's Lobster (124 University Place),new-york,"['Healthy', 'Seafood', 'Sandwich', 'American', 'Salads']",{},$$,"{'@type': 'GeoCoordinates', 'latitude': 40.7348443, 'longitude': -73.9923101}",+19174759191,https://www.ubereats.com/new-york/food-delivery/lukes-lobster-124-university-place/fTaQNsmZSeO9_23qJUMM0A,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10003', 'addressCountry': 'US', 'streetAddress': '124 University Pl'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '19:30'}]"
Starbucks® (8th Ave just south of 14th St),new-york,"['Cafe', 'Coffee &amp; Tea', 'Breakfast and Brunch', 'Bakery']","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '208'}",$,"{'@type': 'GeoCoordinates', 'latitude': 40.7391316, 'longitude': -74.0024232}",+12123664672,https://www.ubereats.com/new-york/food-delivery/starbucks-8th-ave-just-south-of-14th-st/U02iijtxSKCS31nwfCRWaA,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10011', 'addressCountry': 'US', 'streetAddress': '122 Greenwich Avenue'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '18:0'}]"
Francesco's Pizzeria,new-york,"['Pizza', 'Italian', 'Pasta', 'American']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.775197, 'longitude': -73.98069100000001}",+12127210066,https://www.ubereats.com/new-york/food-delivery/francescos-pizzeria/wsbG8QIQSJWnJVC19f8h7A,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10023', 'addressCountry': 'US', 'streetAddress': '186 Columbus Ave'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '13:0', 'closes': '20:0'}]"
Hero Boy,new-york,"['Italian', 'Pizza', 'Comfort Food']",{},,"{'@type': 'GeoCoordinates', 'latitude': 40.755521, 'longitude': -73.9944558}",+12129477325,https://www.ubereats.com/new-york/food-delivery/hero-boy/ZhNYtVFnS2Ky7zAfDG_WKQ,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10018', 'addressCountry': 'US', 'streetAddress': '494 9th Ave'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '9:0', 'closes': '22:0'}]"
Toro Loco,new-york,"['Mexican', 'Vegan Friendly', 'Wings']","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '17'}",$,"{'@type': 'GeoCoordinates', 'latitude': 40.7041754, 'longitude': -74.0121212}",+19172620444,https://www.ubereats.com/new-york/food-delivery/toro-loco/RsjBAYtgTKS8QHx9rSKrpQ,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '', 'addressCountry': 'US', 'streetAddress': '15 Stone St'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '15:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '21:0'}]"
Snowfox - Flatiron,new-york,"['Sushi', 'Salads', 'Cafe']",{},$$,"{'@type': 'GeoCoordinates', 'latitude': 40.740568, 'longitude': -73.987994}",+6469983030,https://www.ubereats.com/new-york/food-delivery/snowfox-flatiron/x7cu1OxjRWKQv3lvTiMh9g,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10010', 'addressCountry': 'US', 'streetAddress': '24 E 23rd St'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '19:0'}]"
Dig - Pine St,new-york,"['Vegetarian Friendly', 'Healthy', 'American', 'Vegan Friendly', 'Gluten Free Friendly', 'Family Meals']","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '138'}",$$,"{'@type': 'GeoCoordinates', 'latitude': 40.7062847, 'longitude': -74.00701149999999}",+12127851110,https://www.ubereats.com/new-york/food-delivery/dig-pine-st/V9uXDu8tSCWQNjKkvGJ3Qw,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:30'}]"
Go Vegan Cuisine,new-york,"['Asian', 'Asian Fusion', 'Korean', 'Allergy Friendly']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.7140637, 'longitude': -73.9874695}",+12676668199,https://www.ubereats.com/new-york/food-delivery/go-vegan-cuisine/X1wrT6neREqlP-tnDqroww,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10002', 'addressCountry': 'US', 'streetAddress': '215 E Broadway 1 st'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '22:0'}]"
Shake Shack  (23rd and Madison Avenue),new-york,"['American', 'Burgers']","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '203'}",$,"{'@type': 'GeoCoordinates', 'latitude': 40.74087610000001, 'longitude': -73.9879814}",+16467472606,https://www.ubereats.com/new-york/food-delivery/shake-shack-23rd-and-madison-avenue/rAVqozT5QfWcME8nNy_WRQ,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10010', 'addressCountry': 'US', 'streetAddress': '23rd and Madison Avenue'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '10:0'}]"
Vegano Ristorante ,new-york,"['Vegetarian', 'Vegan', 'Healthy', 'Salads', 'Pizza', 'Italian', 'Burgers', 'Vegan Friendly', 'Vegetarian Friendly', 'Healthy']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.7567349, 'longitude': -73.9812159}",+12123075484,https://www.ubereats.com/new-york/food-delivery/vegano-ristorante/7mOmouYnT563xndDndw7cA,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10036', 'addressCountry': 'US', 'streetAddress': '46 W 46th St'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:30', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:30', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday'], 'opens': '11:30', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday'], 'opens': '11:30', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday'], 'opens': '11:30', 'closes': '18:30'}]"
Canadian Pancake House,new-york,"['Burgers', 'American', 'Sandwiches']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.7609735, 'longitude': -73.96979759999999}",+12123198884,https://www.ubereats.com/new-york/food-delivery/canadian-pancake-house/Ve72sGzlQs6C9PDiLWy5sg,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'New York', 'postalCode': '10022', 'addressCountry': 'US', 'streetAddress': '122 E. 57th St'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '21:30'}]"
